Estimated  duration,Size of organization,Team size,Daily working hours,Object points,# Multiple programing languages ,Programmers experience in programming language,Project manager experience,Requirment stability,Actual effort
2.0,16,6,8,100,1,2,2,2.59,3168.0
2.0,2,3,8,19,2,2,1,2.9,1584.0
3.0,2,6,8,64,1,1,2,1.0,5280.0
6.0,3,6,8,246,1,1,1,2.51,5280.0
12.0,3,9,8,420,3,1,1,4.65,38016.0
6.0,3,7,8,177,1,1,1,4.41,9856.0
6.0,3,5,8,54,1,2,2,3.38,7920.0
4.0,3,5,10,71,3,1,2,2.67,4400.0
6.0,3,4,8,14,1,1,1,1.71,4224.0
12.0,1,4,7,335,1,3,1,2.51,24255.0
9.0,3,7,9,?,1,1,1,3.86,35640.0
6.0,2,4,10,36,1,2,1,2.75,7920.0
2.0,1,3,8,30,1,1,1,2.75,1760.0
3.0,1,5,8,409,1,2,1,2.19,3080.0
3.0,1,4,8,30,1,1,1,1.32,2112.0
2.5,1,4,8,163,1,1,1,2.11,2640.0
2.0,1,4,8,91,1,1,1,1.63,1760.0
1.0,1,2,8,60,1,1,1,1.0,396.0
4.5,1,7,8,372,1,1,1,2.27,5544.0
4.0,1,2,8,172,1,3,1,2.11,1232.0
6.0,5,48,8,1100,2,3,1,3.7,76032.0
4.0,3,6,12,350,1,1,1,1.16,9504.0
3.0,16,3,8,50,1,2,1,3.06,2640.0
4.0,4,6,12,350,1,1,1,1.16,6336.0
12.0,4,6,6,50,1,1,2,2.98,13200.0
1.0,16,2,8,80,2,1,1,1.0,792.0
3.0,1,4,7,200,1,2,2,1.16,1155.0
5.0,1,2,5,230,1,2,1,1.32,1100.0
5.0,1,2,10,220,1,1,1,3.38,5280.0
20.0,2,2,8,70,1,1,1,2.03,5808.0
3.0,2,2,5,40,1,4,2,3.3,1155.0
7.0,2,1,8,62,1,2,2,4.81,1584.0
7.0,6,10,8,511,2,4,2,3.38,29040.0
4.0,4,3,8,76,1,2,1,3.7,6336.0
6.0,17,3,4,7,1,5,3,2.9,3168.0
4.0,3,2,8,60,1,1,1,2.9,1056.0
12.0,16,12,8,530,2,3,1,1.48,38016.0
6.0,16,9,8,350,2,2,1,1.0,8976.0
6.0,16,10,8,380,2,3,1,2.9,21120.0
2.0,13,3,8,70,1,1,2,1.0,12672.0
12.0,16,5,8,30,1,1,1,3.38,15840.0
3.0,4,6,12,350,1,2,1,1.08,7920.0
6.0,3,2,8,433,2,3,1,1.79,1232.0
7.0,3,4,5,30,1,5,3,2.43,3080.0
3.0,3,5,5,130,1,1,1,1.63,3300.0
6.0,16,5,7,15,1,3,2,2.59,9240.0
6.0,16,12,7,51,1,1,2,4.65,20328.0
4.0,16,6,7,42,1,2,1,1.24,5544.0
0.25,16,6,14,195,2,4,1,1.0,924.0
0.25,16,6,14,195,2,4,1,1.0,924.0
3.0,16,3,8,80,1,1,1,3.14,5808.0
7.0,16,4,8,420,1,2,3,4.25,8448.0
1.0,16,6,14,195,1,4,1,1.0,2310.0
6.0,3,3,8,333,1,3,1,1.95,4752.0
3.0,16,2,8,13,1,4,3,2.27,1408.0
2.0,16,5,8,9,1,1,1,1.0,3168.0
4.0,3,2,8,95,1,2,2,1.63,1584.0
8.0,16,4,8,540,1,3,3,3.54,8448.0
3.0,3,4,8,43,1,1,1,2.19,2112.0
5.0,3,1,8,37,1,3,2,1.4,1056.0
15.0,7,4,8,26,1,1,1,1.32,6336.0
2.0,4,1,8,17,2,5,2,2.11,528.0
6.0,9,12,8,10,1,2,1,3.46,8448.0
5.0,16,3,8,70,1,2,1,2.19,4224.0
6.0,7,11,8,280,1,4,1,4.33,17424.0
12.0,7,10,8,14,1,3,2,3.22,22176.0
3.0,7,10,8,40,1,3,1,3.06,7920.0
10.0,5,10,8,250,1,3,1,3.54,28160.0
3.0,7,5,8,30,1,2,1,2.67,3696.0
18.0,9,1,8,?,3,?,?,4.25,4224.0
6.0,7,3,8,43,1,1,1,2.43,3168.0
1.0,16,6,14,195,1,4,1,1.0,3696.0
3.0,8,25,8,380,1,3,1,1.95,15840.0
9.0,4,18,8,800,1,3,1,2.75,44880.0
6.0,3,12,8,145,2,2,2,2.75,33792.0
8.0,2,8,8,240,1,1,1,3.22,18304.0
12.0,2,6,8,117,1,1,1,1.48,9504.0
2.0,4,2,7,67,1,1,2,1.71,577.5
3.0,3,5,8,29,2,1,1,4.33,4400.0
6.0,3,5,8,103,1,2,2,3.86,8448.0
4.0,17,2,8,470,1,1,2,1.48,1760.0
4.0,17,4,8,350,1,3,2,1.0,2816.0
4.0,16,4,6,18,2,1,1,1.0,4752.0
4.0,16,3,8,90,1,3,3,3.54,2640.0
4.0,17,8,6,165,1,1,3,3.94,2640.0
7.0,17,1,10,210,1,1,1,3.7,2200.0
12.0,17,2,8,700,1,1,2,4.33,12672.0
2.0,17,1,8,140,1,1,3,3.38,792.0
12.0,17,1,10,260,1,1,2,4.33,10560.0
6.0,9,5,8,20,1,3,1,2.03,3520.0
5.0,9,2,8,12,1,2,2,3.38,4224.0
3.0,13,7,8,9,1,1,1,1.0,1936.0
3.0,13,4,8,20,1,1,1,1.48,2112.0
9.0,9,2,9,25,1,1,1,1.0,3861.0
4.0,6,45,8,1700,1,5,1,4.33,79200.0
6.0,2,6,8,170,1,1,2,3.38,7392.0
1.0,2,5,8,35,1,2,1,3.06,704.0
4.0,2,3,8,98,2,2,1,3.62,3520.0
6.0,16,3,8,32,3,1,1,2.35,2904.0
3.0,1,5,8,88,1,1,1,2.35,704.0
1.0,1,2,8,37,1,2,3,1.71,528.0
3.0,7,3,8,22,1,3,2,3.78,1760.0
6.0,16,5,8,70,1,2,1,3.3,5632.0
9.0,4,5,9,450,1,2,1,3.54,14850.0
9.0,4,7,9,450,1,2,1,3.54,17820.0
9.0,1,3,9,650,1,1,1,3.54,5346.0
9.0,3,6,9,650,1,1,1,3.54,10692.0
12.0,4,6,9,450,1,2,1,3.54,10692.0
9.0,2,6,9,750,1,1,1,3.54,8019.0
12.0,4,7,9,450,1,2,1,3.54,10692.0
9.0,3,6,9,650,1,1,1,3.54,10692.0
5.0,16,6,8,18,1,2,1,4.33,4224.0
7.0,6,5,6,500,1,2,1,2.9,6534.0
3.0,7,5,9,125,1,2,1,4.17,3465.0
8.0,16,9,8,180,1,3,2,3.86,16016.0
2.0,16,2,8,65,1,3,1,2.75,792.0
6.0,3,5,12,50,1,5,3,1.0,21384.0
2.0,16,2,8,11,1,2,1,3.94,880.0
3.0,16,2,8,67,1,5,1,2.75,3168.0
12.0,16,3,8,12,1,1,1,3.46,19008.0
